country,date,confirmed_cases,deaths,new_cases,new_deaths
Brazil,2020-01-23,0,0,0,0
Brazil,2020-01-24,0,0,0,0
Brazil,2020-01-25,0,0,0,0
Brazil,2020-01-26,0,0,0,0
Brazil,2020-01-27,0,0,0,0
Brazil,2020-01-28,0,0,0,0
Brazil,2020-01-29,0,0,0,0
Brazil,2020-01-30,0,0,0,0
Brazil,2020-01-31,0,0,0,0
Brazil,2020-02-01,0,0,0,0
Brazil,2020-02-02,0,0,0,0
Brazil,2020-02-03,0,0,0,0
Brazil,2020-02-04,0,0,0,0
Brazil,2020-02-05,0,0,0,0
Brazil,2020-02-06,0,0,0,0
Brazil,2020-02-07,0,0,0,0
Brazil,2020-02-08,0,0,0,0
Brazil,2020-02-09,0,0,0,0
Brazil,2020-02-10,0,0,0,0
Brazil,2020-02-11,0,0,0,0
Brazil,2020-02-12,0,0,0,0
Brazil,2020-02-13,0,0,0,0
Brazil,2020-02-14,0,0,0,0
Brazil,2020-02-15,0,0,0,0
Brazil,2020-02-16,0,0,0,0
Brazil,2020-02-17,0,0,0,0
Brazil,2020-02-18,0,0,0,0
Brazil,2020-02-19,0,0,0,0
Brazil,2020-02-20,0,0,0,0
Brazil,2020-02-21,0,0,0,0
Brazil,2020-02-22,0,0,0,0
Brazil,2020-02-23,0,0,0,0
Brazil,2020-02-24,0,0,0,0
Brazil,2020-02-25,0,0,0,0
Brazil,2020-02-26,1,0,1,0
Brazil,2020-02-27,1,0,0,0
Brazil,2020-02-28,1,0,0,0
Brazil,2020-02-29,2,0,1,0
Brazil,2020-03-01,2,0,0,0
Brazil,2020-03-02,2,0,0,0
Brazil,2020-03-03,2,0,0,0
Brazil,2020-03-04,4,0,2,0
Brazil,2020-03-05,4,0,0,0
Brazil,2020-03-06,13,0,9,0
Brazil,2020-03-07,13,0,0,0
Brazil,2020-03-08,20,0,7,0
Brazil,2020-03-09,25,0,5,0
Brazil,2020-03-10,31,0,6,0
Brazil,2020-03-11,38,0,7,0
Brazil,2020-03-12,52,0,14,0
Brazil,2020-03-13,151,0,99,0
Brazil,2020-03-14,151,0,0,0
Brazil,2020-03-15,162,0,11,0
Brazil,2020-03-16,200,0,38,0
Brazil,2020-03-17,321,1,121,1
Brazil,2020-03-18,372,3,51,2
Brazil,2020-03-19,621,6,249,3
Brazil,2020-03-20,793,11,172,5
Brazil,2020-03-21,1021,15,228,4
Brazil,2020-03-22,1546,25,525,10
Brazil,2020-03-23,1924,34,378,9
Brazil,2020-03-24,2247,46,323,12
Brazil,2020-03-25,2554,59,307,13
Brazil,2020-03-26,2985,77,431,18
Brazil,2020-03-27,3417,92,432,15
Brazil,2020-03-28,3904,111,487,19
Brazil,2020-03-29,4256,136,352,25
Brazil,2020-03-30,4579,159,323,23
Brazil,2020-03-31,5717,201,1138,42
Brazil,2020-04-01,6836,240,1119,39
